author,rating,title,review,updated,version,country
Yoioyoypapapapap,1,lah,"Dih apk ngelag bnget, udah Booking lewat apk jg masih sama aj nunggu lama, trus gunanya ni apk apa nah?",2025-05-05T08:12:57-07:00,2.0.6,id
Intan nurmalasari,5,Pelayanan servis,Saya pelanggan setia sanjaya motor karna servis memuaskan,2025-04-20T23:52:57-07:00,2.0.6,id
Hmmm0824,2,"Terlalu banyak Iklan, berguna tidak?","Terlalu banyak iklan jadi teralihkan dari tujuan utama saat buka aplikasi. Booking service lewat aplikasi, begitu datang ke bengkel sesuai waktu bahkan sebelum tetap saja antri manual. Jadi fungsi booking service untuk apa?",2025-04-17T21:08:16-07:00,2.0.6,id
nadyawrdnta,5,scoopy prestige,"sangat puas sm pelayanannya, selain cantik mbanya sopan, ramah sukses terus untuk mba berliana",2025-04-16T19:12:08-07:00,2.0.6,id
serahluuu dahh,1,BOKING ONLEN GAK GUNA,"Percuma boking onlen jauh hari, sampe bengkel tetep ikut antri biasa HAHAHAHA PEMBODOHAN",2025-04-09T20:10:06-07:00,2.0.6,id
dafayusuf,1,Tukar coucher,Untuk tukar voucher makan dan lain2 tolong bisa langsung tuker banyak kayak sebelumnya. Jangan seperti sekarang hanya bisa tuker voucher 1kali dalam seminggu,2025-04-09T05:49:02-07:00,2.0.6,id
ghost_iris,3,Jenis service,"Bagian jenis service bikin binggung tidak menjelaskan keterangan service apa yg di dilakukan hanya kode2 dan harga.
Mungkin bisa di tambahkan keterangan yg jelas update selanjutnya.",2025-04-07T21:12:25-07:00,2.0.6,id
gubthamp,5,ok,"aplikasi dan layanan ok, semua keluhan diselesaikan",2025-03-20T23:52:09-07:00,2.0.5,id
adivijar,1,paku bumi,wahhhhhh keren banget,2025-03-19T19:21:41-07:00,2.0.5,id
A Djw,3,Service Honda Booking App,"Service Honda Booking via App sangat menguntungkan, kita jadi prioritas, apalg sy dpt special gift🙏🙏",2025-03-07T14:40:13-07:00,2.0.4,id
Adhien Sr,5,Service motor,Mantab,2025-03-04T17:35:29-07:00,2.0.4,id
dewiswhyn,5,mantapp,mau servis jadi cepat tidak perlu antri lama,2025-02-28T18:40:27-07:00,2.0.4,id
Johnnytuyul,5,Nice,Bagus,2025-02-28T03:41:31-07:00,2.0.4,id
RahayuT,5,PROMO,"Promo di Motorku X sangat menari, bagus dan bermanfaat. Semoga kedepannya banyak promo-promo menarik dan bermanfaat untuk pengguna Motorku X",2025-02-26T21:45:28-07:00,2.0.4,id
iqbal rivaldi,5,Aplikasi keren,"Aplikasinya bagus bisa simpan track record kita service, jadi motor kesayangan tetap terawat dengan baik✨

Bisa pakai kode referalku biar dapet promo menarik lainnya: RADN3567",2025-02-26T20:31:42-07:00,2.0.4,id
Rosidul mohtaz,5,Butuh banget vouchernya,Aplikasinya sangat membantu dan mudah,2025-02-26T03:18:51-07:00,2.0.4,id
afiq noer,5,kode referal: AFI9Y791,"sangatt worth it, kalau mau service tinggal booking aja tidak perlu datang antri",2025-02-26T02:15:10-07:00,2.0.4,id
alfiaaaaaan,5,motorku x,aplikasi yang baek dan bermanfaat,2025-02-26T02:15:01-07:00,2.0.4,id
aja13781,5,mantap,mau service motor jadi lebih mudah dan cepat,2025-02-26T02:06:38-07:00,2.0.4,id
Muhamad Ardianto Hidayat,5,Pelayanan,"Pelayanan administrasi dan informasi pelayanan sangat bagus, tapi untuk daerah ambon tenaga kerjanya tolong yang lebih profesional. Saya punya pengalaman servis yang kurang baik",2025-02-26T02:06:32-07:00,2.0.4,id
Agus bayu PP,5,Penilain motorku X,Semakin mudan efisien dan simple,2025-02-22T04:41:47-07:00,2.0.4,id
m./32,5,MUHZA846,"Aplikasi nya mantep bgt sangat membantu🔥🔥
MUHZA846",2025-02-22T02:15:21-07:00,2.0.4,id
Shelagrashella,5,Review,Memudahkan pengguna baru untuk servis motor nya,2025-02-22T02:04:49-07:00,2.0.4,id
Aliando0207,5,SERVICE PERAWATAN,"Sebentar Lagi Mudik, Pastikan Motor dalam keadaan Aman sehingga mudik terasa nyaman, selalu service perawatan berkala di ahhas resmi. Gunakan Aplikasi motorku X untuk memudahkan mudiker antri tanpa ribet,
ubur-ubur Ikan leLe
Ini Kode refferalku Le

RB1VKGFM",2025-02-21T16:55:05-07:00,2.0.4,id
Callmenih,5,Sangat membantu untuk meperbaiki motor,"Sangat baik dalam pelayanan dan juga ramah, kita jadi lebih mudah dalam melakukan perbaikan motor",2025-02-20T18:50:29-07:00,2.0.4,id
shelya14,5,mudah & banyak fitur,"servis sekarang lebih mudah, cek harga motor terbaru honda juga mudah, app ada voucher promo lumayan hihi & banyak fitur menarik lainnya.

jangan lupa pake kode referral aku yaah 
SHEEE530",2025-02-19T09:19:31-07:00,2.0.4,id
ariepisss,5,Servis motor jadi mudah,Simpel dan efisien pakai aplikasi motorku x 👍🏻👍🏻👍🏻,2025-02-19T02:34:35-07:00,2.0.4,id
aanddni,5,astra,bagus,2025-02-19T02:24:49-07:00,2.0.4,id
FluidaGT,5,SOLUSI SERVICE NO RIBET RIBET,🔥,2025-02-19T02:22:12-07:00,2.0.4,id
14dLan,5,Solusi Praktis untuk Pengguna Motor Honda,"Motorku X adalah aplikasi yang dikembangkan oleh PT Astra International Tbk - Honda Sales Operation, dirancang khusus untuk memudahkan pemilik motor Honda dalam mengelola kebutuhan kendaraan mereka. Aplikasi ini menawarkan berbagai fitur yang mempermudah pengguna dalam perawatan dan informasi seputar motor Honda.",2025-02-19T02:16:32-07:00,2.0.4,id
Dhxl9,5,Fleksibel (ACHWW912),"Booking service jadi lebih simple dan fleksible dengan aplikasi Motorku X 👍🏻🫵🏻✨

Pake kode referal ku yaa!! 🙌🏻",2025-02-16T02:56:23-07:00,2.0.4,id
adymastra,5,good,mantap apk ini guyss🔥🔥🔥,2025-02-16T02:41:39-07:00,2.0.4,id
WAHXA509,5,Kode Referralku : WAHXA509,"You always deliver high-quality work. 
MotorkuX Aplikasi terbaik 🥰",2025-02-16T02:18:47-07:00,2.0.4,id
Silllsilll,5,Penangannan,"Senengg bgt dapet penangannan yang cepet, ramah ramah juga ❤️",2025-02-16T02:04:48-07:00,2.0.4,id
alfiadwin,5,memudahkan servis motor,"ga perlu ribet dan bingung kalo mau servis motor, karna lebih mudah pake aplikasi motorku x
simpel dan cepat jadi ga bingung lagi 
tinggal pilih hari dan jam aja udah bisa booking dari rumah buat servis
daftar juga pake kode refferal biar dapet banyak bonus
kode refferal: ALFGN799",2025-02-15T21:22:30-07:00,2.0.4,id
michylla,5,ERNB9323,"aplikasinya membantu bgt sangat amat bermanfaat, buat temen” yg baru dnload apk bisa pke kode referal itu yaaa biar lebih banyak keuntungan yg di dapet hehe 🫶🏻🫶🏻🫶🏻",2025-02-15T16:58:25-07:00,2.0.4,id
Tedipernandi,5,Motorku x,Mantap,2025-02-15T05:26:58-07:00,2.0.4,id
oridonfer,5,Usefull,"Sangat berguna, booking service dari rumah, sampai dealer tepat waktu sesuai dengan waktu yg dipilih dan kita akan dilayani segera. Good job dan pertahankan luuur",2025-02-15T04:25:21-07:00,2.0.4,id
nsdr28,5,Helpfull,Aplikasi is good,2025-02-13T20:56:37-07:00,2.0.3,id
Joharudin joe,5,MotorKu x,Semua jadi lebih mudah dan cepet dpt info menarik dari layanan service,2025-02-12T18:37:51-07:00,2.0.3,id
Raisamin,5,Review pengalaman seru dg aplikasi motorku x,MAMIB319 ( bismillah aplikasi motorku ini sangat membantu sekali karena selain memudahkan kita utk booking waktu service aplikasi ini jg menghemat waktu tanpa kita datang ketempat service atau bengkel untuk membuat jadwal service),2025-02-12T13:41:23-07:00,2.0.3,id
titania fitriani,5,Kode Refereal : TITQP914,Mantap,2025-02-12T01:12:13-07:00,2.0.3,id
RNH27,5,kode referral: L16NAYVN,aplikasi yang bisa mempermudah keperluan konsumen.,2025-02-11T20:41:03-07:00,2.0.3,id
donofuns,5,sangat membantu,cepat dan mudah,2025-02-11T18:40:51-07:00,2.0.3,id
ranioktavianti,5,Keren banget👍🏻,"Aplikasi yang keren dan kekinian banget, saya terbantu sekali dengan adanya aplikasi ini. Bisa booking servis dan praktis sekali. Terima kasih banyak hondaaaaa, selalu memberi yang terbaik",2025-02-11T17:45:22-07:00,2.0.3,id
RebellionSSSS,5,Disuruh Honda biar dapet 500rb,Disuruh Honda biar dapet 500rb WKWKWK,2025-02-11T03:44:48-07:00,2.0.3,id
ela.ananta,5,Service,"Untuk aplikasi sudah bagus, lebih ditingkatkan lagi untuk fitur2 dan update datanya, lebih dipermudah untuk penggunaan",2025-02-11T03:08:45-07:00,2.0.3,id
Gietha anggelina,5,Review,"Sangat membantu sih, bisa tau riwayat motor juga",2025-02-11T02:57:17-07:00,2.0.3,id
Arsyahdan,5,Tentang Apps,Jujur ini sangat membantu para pelanggan motor honda yang ingin booking service online secara mudah dan mempersingkat waktu tunggu.,2025-02-11T02:41:18-07:00,2.0.3,id
D10nd,5,MUDBA675 Aplikasinya,Sangat membantu,2025-02-11T02:10:48-07:00,2.0.3,id
igodarrian,5,Service keren,"Aplikasi ini sangat berguna untuk booking dengan antrian terdepan, keren honda",2025-02-11T02:05:41-07:00,2.0.3,id
Titosusanto,5,Mantap,Ok,2025-02-10T23:47:38-07:00,2.0.3,id
badut99,5,terbaik,"mantullss apk sangat berguna untuk kebutuhan service motor baru pcx roadsync saya
kode referral : ERITH554",2025-02-10T20:02:18-07:00,2.0.3,id
M Reza Desriansyah,5,Kode referal : MPU3V488,Bagus baik one heart one love untuk pakai kode referal di atas ya,2025-02-10T17:24:04-07:00,2.0.3,id
Lucius Marcel,5,LUCCQ155,"Aplikasi terbaik, servis motor sangat jauh lebih mudah dan praktis dengan booking sistem online.",2025-02-09T21:36:24-07:00,2.0.3,id
KakaPanji,5,Kode Referal: PANRQ692,"Kode Referal: PANRQ692

Aplikasinya memudahkan kita untuk booking jadwal servis sepeda motor Honda di AHASS",2025-02-09T01:06:30-07:00,2.0.3,id
Felix oscar,5,FELRK030,Perfect,2025-02-06T20:33:08-07:00,2.0.3,id
Rizal-KLB,5,Motor CBR 150r,"Ternyata motor honda selain motornya kuat, gak rewel, tahan air pula pas terjang banjir pun ndak mati.",2025-02-06T20:02:45-07:00,2.0.3,id
Verochoice,5,Savero,"Aplikasi ini sangat membantu banget untuk kita yg waktu nya sangat terbatas , karena bisa book service supaya kita tidak menunggu terlalu lama dibengkel saat service karna harus nunggu antrian . Tidak hanya itu , kita juga bisa lihat reverensi lain dari kendaraan” honda lainnya dan bisa mengecek harga” spareparts yang ingin kota ganti",2025-02-06T17:51:11-07:00,2.0.3,id
Aroel#1,4,Rekomended,"Aplikasi yang sederhana dan mudah dipahami, selain itu ketika sampai di dealer atau tempat service kita akan dilayani oleh para tukang service yang bukan hanya cekatan tetapi juga ramah",2025-02-06T17:35:52-07:00,2.0.3,id
Faygo<3,1,Gajelas,Orang udah booking untuk servis dirumah saat jam ingin diservis tiba tiba batal alasannya tidak kesnaa tepat waktu padahal kan servis rumah benerin aplikasi kalian sampah,2025-01-25T00:41:02-07:00,2.0.3,id
Ni Ryaningsih,5,Kode Referral : NIWHO422,"Pelayanan bagus, product sesuai dengan expectation. Hanya saja tolong lebih di check lagi untuk orderan onlike di Aplikasi Motorku X. Jika saya tidak telefon lgsung ke dealer untuk pemesanan online saya, mungkin sampai saat ini orderan saya masih belum di proses. Bagi kalian yg berminat untuk order online bisa gunakan kode referral dari saya. Terimakasih.",2025-01-13T02:17:12-07:00,2.0.2,id
Anima Bahnan,5,.,Pelayanan Astra Motor Terbaik,2025-01-08T16:57:59-07:00,2.0.2,id
yoyohins,1,Jelek,"Mau booking ataupun enggak ttp aja sama, ngantriiii😕asli, aplikasi tdk berguna menuh2in hape",2025-01-01T21:03:52-07:00,2.0.2,id
iAeterna,1,GA GUNA,Ga bs dpake buat booking servis.. minta konfirmasi yg jawab malah bot.. di pimpong ksana kmari.. buang waktu! Mending ga usa ada aplikasi drpd malah bikin ribet customer,2024-12-05T20:08:39-07:00,2.0.1,id
Ram5689864,1,NO MESIN G KE DETECT,APP ANEH NO MESIN G KEDETETC PDHL DI APP DAYA KEDETECT,2024-11-24T16:54:27-07:00,2.0.1,id
anonym kecewa,1,TIDAK BERGUNA BOOKING,"sudah booking tetap dilayani dengan sama seperti tidak booking, pihak service tidak menanyakan kode dan tidak ada opsi sudah masuk pit di aplikasi, bahkan lebih parah ketika motor sedang di service, ternyata di aplikasi mengindikasi bahwa jadwal sservis dibatalkan, mas sudah jelas tidak ada integrasi antara aplikasi dengan service center, aku suka dengan honda dan berharap dengan saya menulis kritik ini ada perubahan yang baik agar memudahkan pengguna dalam booking servis, terima kasih",2024-11-19T19:07:08-07:00,2.0.1,id
pramce,4,Riwayat service motor,"Kok setelah update, riwayat service motor hilang ya, padahal diperlukan soalnya jadi tahu kapan service terakhir dan apa saja yang diservice",2024-10-26T05:36:52-07:00,2.0.0,id
pRamudya_aNgga,1,Riwayat servis hilang,"Setelah di update riwayat servis jadi hilang semua, tolong di kembalikan riwayat servisnya.",2024-10-21T19:05:04-07:00,1.9.9,id
Kholish22,1,Ulasan komplain,"Udh mesen booking tapi gk kebaca di sistem SA, disuruh nunggu akhirnya harusnya dapet antrian B03, ini malahh dapet R, kan lama lgi buru’ ada urusan, tolong sistemnya di perbaiki lagi dong, jdi maaf saya kasih bintang 1",2024-10-04T18:12:44-07:00,1.9.8,id
Sallad#042,1,Terlalu ribet tidak kayak sibiru,Bukanya tambah sinple malah makin ribet nambahin motor make no mesin lawak bgt gahal terus ga ke detect lagi ribet njing,2024-09-27T00:13:03-07:00,1.9.8,id
Rafly S,4,Kode referral RAFBW558,Kode referral RAFBW558,2024-09-26T17:34:18-07:00,1.9.8,id
iDNov,1,Booking service,Tidak bisa buat booking service selalu data tidak tersedia,2024-09-26T04:42:40-07:00,1.9.8,id
Febrianinur,5,terbaik,"saya pelanggan setia sanjaya motor karena pelayanannya bagus,gerak cepat,telaten",2024-09-26T02:13:50-07:00,1.9.8,id
BL tifu tifu,5,Oke,Mantap,2024-09-18T01:14:39-07:00,1.9.7,id
Haambaaa Allah,1,Ga jelas,Percuma booking kalo masihh antrii,2024-09-15T18:20:05-07:00,1.9.7,id
ginaISgaby,5,“One Heart” HONDA ❤️👍🏼,"Dari awal pembelian motor sampai dengan service pertama kali, semua staff dan pelayanannya sangat baik dan ramah 😊👍🏼 Terima kasih banyak Team Astra Motor Honda (khususnya Cokroaminoto Denpasar, Bali) 😊🙏🏻",2024-09-13T19:28:34-07:00,1.9.7,id
Paijoo 007,1,booking service di perbaiki,"bingung guna nya ini aplikasi apa, udah booking service sampai di dealer ikut antrian lagi 3 jam",2024-08-26T01:02:32-07:00,1.9.7,id
nyonyo97,1,Aplikasi tidak berguna,"Booking online cuman prank. Datang 15 menit sebelum jam perjanjian di bengkel cokroaminoto Denpasar malah disuruh antri seperti customer biasa. Apa gunanya membuka booking service jauh-jauh hari kalau akhirnya harus nunggu antri 2 jam hanya untuk menunggu giliran diperiksa oleh supervisornya, aplikasi motroku X ga berguna sama sekali. Kualitas layanan makin menurun dari tahun ke tahun, sparepart kosong ga pernah ada. Petugasnya pun tidak solutif, cuman menyuruh antri. Padahal sudah ada konfirmasi melalui email jam booking dan nomor kendaraan. SANGAT TIDAK DIREKOMENDASIKAN SERVIS MOTOR bengkel cokroaminoto Denpasar. Pdahal ongkos juga ga murah.

The worst place to book motorbike service. It's useless to book and come early but the system has an error and doesn't get priority treatment. The booking system is just a prank...",2024-08-08T08:53:32-07:00,1.9.6,id
nur zazin,1,Nomor rangka tidak ditemukan,"saya tidak tahu harus melaporkan masalah error ini kemana karena tidak ada menu chat atau laporan di aplikasi ini.
Jadi ceritanya begini, kurang lebih seminggu yang lalu saya ke bengkel resmi Honda di sekitar Jakarta Selatan, saya disuruh melakukan registrasi di aplikasi dulu kata customer servicenya di bengkel itu.
setelah saya registrasi semua sudah lengkap tinggal 1 masalah yaitu nomor mesin salah. Saya sudah coba berkali-kali tetap salah.
Intinya karena aplikasi sialan ini saya tidak bisa service motor di bengkel resmi Honda.",2024-08-01T22:12:24-07:00,1.9.6,id
Nazzhqhdvbdkwb,1,Kurang protect,"Aplikasi sampah, sering eror, trouble, memperlama proses service di ahass, gak bisa detect kpb yg digunakan ketika service tdk urut. Hati hati untuk cust, ada beberapa ahass yg kupon servicenya masih ada di buku padahal sudah diinput tanpa persetujuan",2024-07-26T07:51:12-07:00,1.9.6,id
Fatoni01,1,Apk buruk,Error terus. Gak bisa booking,2024-07-21T18:38:32-07:00,1.9.6,id
abdul rakan,5,baik.,pesanan tepat waktu. unit sesuai dengan pesanan.,2024-07-10T07:21:34-07:00,1.9.6,id
jshahuajq,2,Aplikasi,"service ke ahas yg kedua dan harus pake aplikasi ini, aplikasi trouble sangat membuang waktu 
lebih baik kalo mau service nda usah pake aplikasi aja 
aplikasi ini juga sangat lemot 
harap diperbaiki",2024-07-08T20:56:05-07:00,1.9.6,id
itswann,5,Kode Referral: IKHWI060,"Aplikasi yang berguna untuk melihat kondisi motor kita. Gunakan kode referral IKHWI060 saat meng-install aplikasi, ya! 🙌",2024-07-03T17:16:52-07:00,1.9.6,id
bagus kim,1,apk rusak,"gapernah buka apk ini, tiba2 ada tranfer motor ke nama lain tanpa pengetahuan, gajelas banget ni apk, chat cs ga ada respon, ini masuk pemalsuan data ga si? orng ga ada transfer motor tiba2 nama motor di apk atas nama orang lain, kan aneh",2024-06-30T23:25:08-07:00,1.9.6,id
Jumeriya,3,Ga jelas,Gmna sih?pdhl baru instal lngsung daftr kok lngsung terbaca email sudh terdaftr?,2024-06-30T10:25:03-07:00,1.9.6,id
ed.henry,5,Fitur,Aplikasi yg bagus dan bermanfaat,2024-06-21T23:22:48-07:00,1.9.5,id
Haqqi Akbar,1,Komplain Pelayanan Pembelian,Saya pesan oli kok lama banget direspon salesnya. Kalau selama ini mending beli langsung aja kebengkel ga sih? Trus gunanya bisa beli di app tuh apa?,2024-06-15T20:48:51-07:00,1.9.5,id
Atuyyyyyyyyyyyyy,1,Gak reliable,ini lokasi ahassnya gabisa loading. Aneh,2024-06-14T22:24:08-07:00,1.9.5,id
pakbek,1,.,Baru sempat service di 1160km tidak bisa dapat service pertama malah di pindahkan di service kedua. Padahal selisihnya sedikit. Sistem apa ini,2024-06-02T21:29:42-07:00,1.9.4,id
"rif,an",5,Puas,Mantap,2024-05-30T22:52:52-07:00,1.9.4,id
Dimas Ardana,5,🥵kiwkiw,🥰kiwkiw,2024-05-30T21:14:46-07:00,1.9.4,id
Lale Nadia,5,Kode refferal LALAR110,"Sangat memudahkan untuk service dan jika ingin melakukan pembelian motor juga bisa di aplikasinya, bisa cek motor yg dipesan proses nya udh sampe mana. Ada games dan voucher jugaaa🥰",2024-05-30T00:57:16-07:00,1.9.4,id
Septisinurat,5,Easy to use,Penggunaan aplikasi yang memudahkan dalam melakukan booking service dan tracking harga. Aplikasi yang dibuat sangat baik sehingga tidak ada kendala dalam pengunaannya,2024-05-30T00:20:30-07:00,1.9.4,id
Karli Yuliyanto,5,Honda Mantap,Sangat memudahkan dalam urusan perawatan motor dalam sentuhan jadi,2024-05-29T08:55:36-07:00,1.9.4,id
Jumie Ners,5,Honda satu hati😘,"Aplikasi yg sangat membantu, Honda memang selalu terdepan, Terbaik, gak prnh pindah ke lain hati, Tetep satu hati HONDA🫶",2024-05-29T01:36:35-07:00,1.9.4,id
aariiuueeoo,5,Good berungsi dengan baik,"tidak ada yang kurang, semoga lancar jaya apk nya",2024-05-28T23:07:56-07:00,1.9.4,id
23gbi,5,Pakai kode referral ini ya GEBVE221,"Sangat berguna sekali ada aplikasi ini, jadinya ga perlu repot untuk antri lama 👍🏻",2024-05-28T14:07:56-07:00,1.9.4,id
Ongky pranadhita,5,KOMDD445,"Ini adalah aplikasi yang sangat membantu menurut saya

Saya sangat terbantu dengan fitur “temukan” karena membantu saya utk bisa mengakses lokasi dimana motor saya berada

Jika boleh usul, saya ingin kedepan nya ada fitur “shut down” sehingga kita pemilik motor bisa mematikan mesin kapan saja bilamana motor kita dicuri 

Terimakasih inovasi nya MOTORKU X",2024-05-27T18:25:27-07:00,1.9.4,id
Bellanadira,5,Top markotop,"Mau service motor lebih mudah? Gunakan aplikasi motorku, ga pake ribet antri2🙌",2024-05-27T15:40:22-07:00,1.9.4,id
Ryluluhono,1,ANTI ANTRE?,"Ahas 0694 masih antri boss, percuma booking lewat aplikasi, tetep antri",2024-05-26T23:26:30-07:00,1.9.4,id
Rio Bonito 1234678,1,Butuh Perbaikan,"Aplikasi lemot, mau daftar booking Service aja mesti diulang-ulang. Sudah dibantu mas penjaga bengkel membuat jadwal booking, ternyata mbuat jadwalnya gak sesuai buku servis. Notifikasi pengerjaan servis juga aneh, diservis hari ini, notifikasi “sedang dikerjakan” keluar sehari kemudian.",2024-05-26T06:29:28-07:00,1.9.4,id
Yocgimach23,5,Josss pelayannanya,Emang astra gaadaobat joss,2024-05-24T21:21:37-07:00,1.9.4,id
Nolla Lateral,5,Kode Referral : NOL0P544,"Install dan pakai kode referral di atas teman-teman. Semenjak pakai aplikasi Motorku X bisa mempermudah booking servis, bisa kredit motor dengan beragam voucher yang di tawarkan, bisa test ride, tukar tambah hingga ada games nya yang bisa nambah poin. Yang paling aku suka di aplikasi ini adalah banyak diskon/voucher yang ditawarkan jadi lebih irit deh🤗",2024-05-24T00:23:33-07:00,1.9.4,id
Jobil16,5,Very good Application for Honda Owners,"Praktis, efisien, informasi yang diperlukan selalu ada. Keren Honda.",2024-05-22T00:24:47-07:00,1.9.4,id
RyoKeynzo,5,Bagus,"Asik nih aplikasi, benar2 membantu mengingatkan saya untuk jadwal servis rutin dan info2 terbaru dari honda. Aplagi ada menu tukar tambah, pengen nyoba untuk tukar tambah motor beat lama ke baru..",2024-05-21T20:47:45-07:00,1.9.4,id
Chaszie,1,Nyusahin,Nyusahin,2024-05-20T18:54:42-07:00,1.9.4,id
Ccxxgdggdd,5,Bintang motor,Bintang motor joss,2024-05-17T20:27:10-07:00,1.9.3,id
Ever71,5,User Friendly,"Aplikasi ramah pengguna, mudah digunakan, informasi sangat detail, ada bonus poin, komplit, bisa booking service, info progres service, berapa biaya servis dan spare part, keren👍",2024-05-17T19:00:15-07:00,1.9.3,id
if.abdillah,5,Bagus,Membantu saat booking service,2024-05-16T03:21:19-07:00,1.9.3,id
Ceritahandson,5,Honda is the best,Enak aplikasinya untuk service rutin tidak perlu antri di semua dealer terdekat ❤️❤️,2024-05-15T23:29:41-07:00,1.9.3,id
mhas77,5,Aplikasi yang sangat memudahkan,Satu aplikasi dengan berbagai kemudahan,2024-05-15T22:45:44-07:00,1.9.3,id
ptrchrwonu,5,MANTEB,Lebih enak klo mau servis 😭😭,2024-05-15T22:28:34-07:00,1.9.3,id
